Year,Region,Building_type,steel,concrete,wood,copper,aluminium,glass,brick,plastics
2020,22,2,21.88612083116972,342.60110153789157,45.665529849203395,1.73,3.56,1.5516599627747456,277.21890918376243,1.199406238
2020,22,3,43.3,1067.75,21.6,0.31,1.94,2.0,205.591503,1.199406238
2020,22,4,43.3,1067.75,21.6,0.31,1.94,2.0,205.591503,1.199406238
2020,23,1,15.332493936434123,367.2106489553065,70.50743982168285,1.73,2.53,3.455719687904749,68.57018096798552,1.1994062379999997
2020,23,2,15.332493936434123,367.2106489553065,70.50743982168285,1.73,2.53,3.455719687904749,68.57018096798552,1.1994062379999997
2020,23,3,59.97309861758309,948.5035193072796,18.266521813665346,0.31,1.94,2.6302133940958674,240.4019964211879,1.199406238
2020,23,4,59.97309861758309,948.5035193072796,18.266521813665346,0.31,1.94,2.6302133940958674,240.4019964211879,1.199406238
2020,24,1,7.925945982215612,448.09836220081536,60.85365627915099,1.43,2.73,4.0171418886544865,289.28937363609487,1.2053499921040887
2020,24,2,7.925945982215612,448.09836220081536,60.85365627915099,1.43,2.73,4.0171418886544865,289.28937363609487,1.2053499921040887
2020,24,3,50.87872690214971,957.106586529864,19.443701189169698,0.16,1.94,2.9986215729838586,256.4900170359595,1.1897080659412982
2020,24,4,50.87872690214971,957.106586529864,19.443701189169698,0.16,1.94,2.9986215729838586,256.4900170359595,1.1897080659412982
2020,25,1,24.528229047810417,680.0870928137564,36.008558844785924,1.73,3.56,1.4929328964286288,316.21841612133096,1.1994062380000001
2020,25,2,24.528229047810417,680.0870928137564,36.008558844785924,1.73,3.56,1.4929328964286288,316.21841612133096,1.1994062380000001
2020,25,3,43.0500606377821,1118.8741668654156,21.60000086780368,0.31,1.94,1.9999999999999998,205.5912891048273,1.199406238
2020,25,4,43.0500606377821,1118.8741668654156,21.60000086780368,0.31,1.94,1.9999999999999998,205.5912891048273,1.199406238
2020,26,1,15.11172221332812,529.1759802417405,46.56552644620339,1.73,3.56,5.13523667010182,518.3536156680059,1.199406238
2020,26,2,15.11172221332812,529.1759802417405,46.56552644620339,1.73,3.56,5.13523667010182,518.3536156680059,1.199406238
2020,26,3,50.801149063135135,965.1479123283588,19.200000495590945,0.31,1.94,2.4685728125641124,212.59148431064537,1.199406238
2020,26,4,50.801149063135135,965.1479123283588,19.200000495590945,0.31,1.94,2.4685728125641124,212.59148431064537,1.199406238
2030,1,1,2.4122964641121163,402.6985517324076,69.97600008563657,1.73,6.42,2.401479821846145,109.98877741030137,1.0098071215287028
2030,1,2,2.4122964641121163,402.6985517324076,69.97600008563657,1.73,6.42,2.401479821846145,109.98877741030137,1.0098071215287028
2030,1,3,44.139259798251864,931.8113115334932,19.55863956556641,0.31,1.94,2.955170054304199,218.67508071917692,1.2078956486479826
2030,1,4,44.139259798251864,931.8113115334932,19.55863956556641,0.31,1.94,2.955170054304199,218.67508071917692,1.2078956486479826
2030,2,1,6.580754244235316,320.8208150015872,60.23284574252878,1.26,2.7,5.118219196363267,165.65945447206718,1.199406238
2030,2,2,6.580754244235316,320.8208150015872,60.23284574252878,1.26,2.7,5.118219196363267,165.65945447206718,1.199406238
2030,2,3,57.744026475166294,727.1769236020676,20.186862785919757,0.31,3.43,3.0,178.17632433948935,1.199406238
2030,2,4,57.744026475166294,727.1769236020676,20.186862785919757,0.31,3.43,3.0,178.17632433948935,1.199406238
2030,3,1,28.402290566878186,590.0390746170369,44.40261823837232,1.73,3.56,5.190240250931741,566.0387573030439,1.199406238
2030,3,2,28.402290566878186,590.0390746170369,44.40261823837232,1.73,3.56,5.190240250931741,566.0387573030439,1.199406238
2030,3,3,49.00034369970633,950.6822732209476,19.400042553296974,0.31,1.94,2.2525822820058576,233.99792143510933,1.199406238
2030,3,4,49.00034369970633,950.6822732209476,19.400042553296974,0.31,1.94,2.2525822820058576,233.99792143510933,1.199406238
2030,4,1,25.913554873241953,548.9658983499224,46.897440104432356,1.73,3.56,5.072630382851844,518.5585033141033,1.199406238
2030,4,2,25.913554873241953,548.9658983499224,46.897440104432356,1.73,3.56,5.072630382851844,518.5585033141033,1.199406238
2030,4,3,49.0017911493108,950.6634205743458,19.40022176134324,0.31,1.94,2.252564872191194,233.98916781131086,1.199406238
2030,4,4,49.0017911493108,950.6634205743458,19.40022176134324,0.31,1.94,2.252564872191194,233.98916781131086,1.199406238
2030,5,1,29.875688596042068,560.5589920753474,40.15185824006359,1.73,3.56,5.715771204224546,625.2844668436935,1.1991596321506264
2030,5,2,29.875688596042068,560.5589920753474,40.15185824006359,1.73,3.56,5.715771204224546,625.2844668436935,1.1991596321506264
2030,5,3,49.0,940.0,19.761796875,0.31,1.94,2.032407407,234.0,1.185760637
2030,5,4,49.0,940.0,19.761796875,0.31,1.94,2.032407407,234.0,1.185760637
2030,6,1,27.504678021477943,541.7926846069001,43.61433423732088,1.73,3.56,5.4238118351458,567.1670255398196,1.1994062380000001
2030,6,2,27.504678021477943,541.7926846069001,43.61433423732088,1.73,3.56,5.4238118351458,567.1670255398196,1.1994062380000001
2030,6,3,49.0,950.686749818323,19.4,0.31,1.94,2.252586416,234.0,1.199406238
2030,6,4,49.0,950.686749818323,19.4,0.31,1.94,2.252586416,234.0,1.199406238
2030,7,1,18.34430904359128,632.265690026981,48.089026092464856,1.73,3.56,4.546965040668051,519.1362277535492,1.2004304549706781
2030,7,2,18.34430904359128,632.265690026981,48.089026092464856,1.73,3.56,4.546965040668051,519.1362277535492,1.2004304549706781
2030,7,3,50.801145665,965.1479633,19.2,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,7,4,50.801145665,965.1479633,19.2,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,8,1,13.99278057702918,508.9079589896068,50.10780716588606,1.73,3.22,4.848644449517275,459.0019021710499,1.1994062380000001
2030,8,2,13.99278057702918,508.9079589896068,50.10780716588606,1.73,3.22,4.848644449517275,459.0019021710499,1.1994062380000001
2030,8,3,50.801145665,965.1479633,19.2,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,8,4,50.801145665,965.1479633,19.2,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,9,1,12.485722126052998,478.2707033089233,53.98615651363179,1.73,3.56,4.570166664826606,392.0216789834826,1.199406238
2030,9,2,12.485722126052998,478.2707033089233,53.98615651363179,1.73,3.56,4.570166664826606,392.0216789834826,1.199406238
2030,9,3,50.801145665,965.1479633,19.2,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,9,4,50.801145665,965.1479633,19.2,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,10,1,17.161306433310198,567.0272003970655,40.27097641420182,1.25,3.56,5.636834513959595,624.2545970842299,1.199406238
2030,10,2,17.161306433310198,567.0272003970655,40.27097641420182,1.25,3.56,5.636834513959595,624.2545970842299,1.199406238
2030,10,3,50.801145665,965.1479633,19.2,0.35,1.94,2.4685728955,212.591503,1.199406238
2030,10,4,50.801145665,965.1479633,19.2,0.35,1.94,2.4685728955,212.591503,1.199406238
2030,11,1,28.237491080314992,627.3643473208684,51.75387740778562,2.42,2.25,3.023781392241749,324.3294907503098,1.2208073037331064
2030,11,2,28.237491080314992,627.3643473208684,51.75387740778562,2.42,2.25,3.023781392241749,324.3294907503098,1.2208073037331064
2030,11,3,52.628037496530986,947.5416331748983,18.272397190885698,0.23,1.2,3.024460555950087,259.89141235360586,1.2046121834931274
2030,11,4,52.628037496530986,947.5416331748983,18.272397190885698,0.23,1.2,3.024460555950087,259.89141235360586,1.2046121834931274
2030,12,1,22.683263976730448,719.8689089308863,61.361784150688756,1.73,3.56,2.9735201676600678,370.42317550468925,1.1994062380000001
2030,12,2,22.683263976730448,719.8689089308863,61.361784150688756,1.73,3.56,2.9735201676600678,370.42317550468925,1.1994062380000001
2030,12,3,52.60229133,965.1479633,19.0,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,12,4,52.60229133,965.1479633,19.0,0.31,1.94,2.4685728955,212.591503,1.199406238
2030,13,1,25.925419344437262,616.3835875798762,63.10244055358443,1.73,3.56,2.8700319037496866,284.4528993423255,1.1994062380000001
2030,13,2,25.925419344437262,616.3835875798762,63.10244055358443,1.73,3.56,2.8700319037496866,284.4528993423255,1.1994062380000001
2030,13,3,52.60957937693735,961.0498822558466,19.00122161675638,0.31,1.94,2.9998574780450897,257.2834975115689,1.1994062380000001
2030,13,4,52.60957937693735,961.0498822558466,19.00122161675638,0.31,1.94,2.9998574780450897,257.2834975115689,1.1994062380000001
2030,14,1,23.23931187837315,567.519374016495,42.03683621729604,1.73,3.56,3.4979850495072524,480.9451036264681,1.199406238
2030,14,2,23.23931187837315,567.519374016495,42.03683621729604,1.73,3.56,3.4979850495072524,480.9451036264681,1.199406238
2030,14,3,52.64373829417996,1100.8841659605146,18.50000000602479,0.31,1.94,2.234286447346706,196.22903525501064,1.1994062379999997
2030,14,4,52.64373829417996,1100.8841659605146,18.50000000602479,0.31,1.94,2.234286447346706,196.22903525501064,1.1994062379999997
2030,15,1,18.394211899439597,570.2854322307832,44.12154040271202,1.73,3.56,5.271874028209594,587.7971475950222,1.1994062380000003
2030,15,2,18.394211899439597,570.2854322307832,44.12154040271202,1.73,3.56,5.271874028209594,587.7971475950222,1.1994062380000003
2030,15,3,55.29029190061104,908.7926850207006,19.456943270235495,0.31,1.94,2.6719462184506817,209.8285369381868,1.199406238
2030,15,4,55.29029190061104,908.7926850207006,19.456943270235495,0.31,1.94,2.6719462184506817,209.8285369381868,1.199406238
2030,16,1,19.516122967744987,475.7073374076815,51.45313035765429,1.73,3.56,4.809476926982182,437.94006698825456,1.199406238
2030,16,2,19.516122967744987,475.7073374076815,51.45313035765429,1.73,3.56,4.809476926982182,437.94006698825456,1.199406238
2030,16,3,52.66630836253027,964.0883027415338,19.01103887306275,0.31,1.94,2.466848723261977,212.20296593395935,1.199406238
2030,16,4,52.66630836253027,964.0883027415338,19.01103887306275,0.31,1.94,2.466848723261977,212.20296593395935,1.199406238
2030,17,1,22.384070692576294,647.196640888295,47.763285889953046,1.73,2.15,4.1702842448176805,476.15706058580076,1.2011663209184098
2030,17,2,22.384070692576294,647.196640888295,47.763285889953046,1.73,2.15,4.1702842448176805,476.15706058580076,1.2011663209184098
2030,17,3,54.7085994912945,906.5365995756126,19.76987102056809,0.31,1.94,2.3732064261538817,191.1009538650254,1.1984154238126
2030,17,4,54.7085994912945,906.5365995756126,19.76987102056809,0.31,1.94,2.3732064261538817,191.1009538650254,1.1984154238126
2030,18,1,21.22972078539034,635.8660120769862,33.234613739894456,1.87,3.56,1.470571281208344,352.93279646159925,1.1994062380000001
2030,18,2,21.22972078539034,635.8660120769862,33.234613739894456,1.87,3.56,1.470571281208344,352.93279646159925,1.1994062380000001
2030,18,3,43.29999999999999,1051.8333333333333,21.600000000000005,0.31,1.94,2.0,210.39433533333332,1.199406238
2030,18,4,43.29999999999999,1051.8333333333333,21.600000000000005,0.31,1.94,2.0,210.39433533333332,1.199406238
2030,19,1,21.996261548642533,588.8030359722977,53.881340524536476,1.73,3.56,4.1992739819315466,381.11162417168,1.199406238
2030,19,2,21.996261548642533,588.8030359722977,53.881340524536476,1.73,3.56,4.1992739819315466,381.11162417168,1.199406238
2030,19,3,57.05159855190887,1008.1844336824021,19.40993749888615,0.52,1.94,3.5613182876134237,282.9148528720542,1.199406238
2030,19,4,57.05159855190887,1008.1844336824021,19.40993749888615,0.52,1.94,3.5613182876134237,282.9148528720542,1.199406238
2030,20,1,17.92260552607882,837.8668184955661,33.92076431583058,1.73,6.88,1.9848556959065418,339.53320614909666,1.199406238
2030,20,2,17.92260552607882,837.8668184955661,33.92076431583058,1.73,6.88,1.9848556959065418,339.53320614909666,1.199406238
2030,20,3,46.6225003890744,1012.1545229748064,21.800184429418643,0.28,1.94,2.0,191.10537688571915,1.199406238
2030,20,4,46.6225003890744,1012.1545229748064,21.800184429418643,0.28,1.94,2.0,191.10537688571915,1.199406238
2030,21,1,17.077223609216663,673.6639499668519,40.501856688317204,1.73,3.56,1.7166224726972703,285.4339258976984,1.199406238
2030,21,2,17.077223609216663,673.6639499668519,40.501856688317204,1.73,3.56,1.7166224726972703,285.4339258976984,1.199406238
2030,21,3,43.05,1118.875,21.6,0.31,1.19,2.0,205.591503,1.199406238
2030,21,4,43.05,1118.875,21.6,0.31,1.19,2.0,205.591503,1.199406238
2030,22,1,21.88612083116972,342.60110153789157,45.665529849203395,1.73,3.56,1.5516599627747456,277.21890918376243,1.199406238
2030,22,2,21.88612083116972,342.60110153789157,45.665529849203395,1.73,3.56,1.5516599627747456,277.21890918376243,1.199406238
2030,22,3,43.3,1067.75,21.6,0.31,1.94,2.0,205.591503,1.199406238
2030,22,4,43.3,1067.75,21.6,0.31,1.94,2.0,205.591503,1.199406238
2030,23,1,15.332493936434123,367.2106489553065,70.50743982168285,1.73,2.53,3.455719687904749,68.57018096798552,1.1994062379999997
2030,23,2,15.332493936434123,367.2106489553065,70.50743982168285,1.73,2.53,3.455719687904749,68.57018096798552,1.1994062379999997
2030,23,3,59.97309861758309,948.5035193072796,18.266521813665346,0.31,1.94,2.6302133940958674,240.4019964211879,1.199406238
2030,23,4,59.97309861758309,948.5035193072796,18.266521813665346,0.31,1.94,2.6302133940958674,240.4019964211879,1.199406238
2030,24,1,7.925945982215612,448.09836220081536,60.85365627915099,1.43,2.73,4.0171418886544865,289.28937363609487,1.2053499921040887
2030,24,2,7.925945982215612,448.09836220081536,60.85365627915099,1.43,2.73,4.0171418886544865,289.28937363609487,1.2053499921040887
2030,24,3,50.87872690214971,957.106586529864,19.443701189169698,0.16,1.94,2.9986215729838586,256.4900170359595,1.1897080659412982
2030,24,4,50.87872690214971,957.106586529864,19.443701189169698,0.16,1.94,2.9986215729838586,256.4900170359595,1.1897080659412982
2030,25,1,24.528229047810417,680.0870928137564,36.008558844785924,1.73,3.56,1.4929328964286288,316.21841612133096,1.1994062380000001
2030,25,2,24.528229047810417,680.0870928137564,36.008558844785924,1.73,3.56,1.4929328964286288,316.21841612133096,1.1994062380000001
2030,25,3,43.0500606377821,1118.8741668654156,21.60000086780368,0.31,1.94,1.9999999999999998,205.5912891048273,1.199406238
2030,25,4,43.0500606377821,1118.8741668654156,21.60000086780368,0.31,1.94,1.9999999999999998,205.5912891048273,1.199406238
2030,26,1,15.11172221332812,529.1759802417405,46.56552644620339,1.73,3.56,5.13523667010182,518.3536156680059,1.199406238
2030,26,2,15.11172221332812,529.1759802417405,46.56552644620339,1.73,3.56,5.13523667010182,518.3536156680059,1.199406238
2030,26,3,50.801149063135135,965.1479123283588,19.200000495590945,0.31,1.94,2.4685728125641124,212.59148431064537,1.199406238
2030,26,4,50.801149063135135,965.1479123283588,19.200000495590945,0.31,1.94,2.4685728125641124,212.59148431064537,1.199406238
2050,1,1,0.8816531120605047,341.5313293827804,62.82675878014275,1.73,6.42,1.6883302156028397,80.99833788850306,0.3144955566242795
2050,1,2,0.8816531120605047,341.5313293827804,62.82675878014275,1.73,6.42,1.6883302156028397,80.99833788850306,0.3144955566242795
2050,1,3,32.18374052435196,703.8256466163983,10.19231334372193,0.31,1.94,1.8719144408691406,59.06465546637542,0.39397506740857613
2050,1,4,32.18374052435196,703.8256466163983,10.19231334372193,0.31,1.94,1.8719144408691406,59.06465546637542,0.39397506740857613
2050,2,1,4.4471138137154025,213.003206662962,54.89001537352519,1.26,2.7,2.740945599236884,122.22972054408507,0.39212353050000004
2050,2,2,4.4471138137154025,213.003206662962,54.89001537352519,1.26,2.7,2.740945599236884,122.22972054408507,0.39212353050000004
2050,2,3,27.290387788005877,515.786250375719,12.763639868804756,0.31,3.43,1.6475490050286572,51.62142841018553,0.3921235305
2050,2,4,27.290387788005877,515.786250375719,12.763639868804756,0.31,3.43,1.6475490050286572,51.62142841018553,0.3921235305
2050,3,1,9.703438847232908,427.1698508724329,20.053975169489007,1.73,3.56,1.3527015039105017,186.7036505703308,0.39212353050000004
2050,3,2,9.703438847232908,427.1698508724329,20.053975169489007,1.73,3.56,1.3527015039105017,186.7036505703308,0.39212353050000004
2050,3,3,35.2758242691114,696.8210429906258,8.30021025246841,0.31,1.94,1.7375002045831587,82.49891161759662,0.3921235305
2050,3,4,35.2758242691114,696.8210429906258,8.30021025246841,0.31,1.94,1.7375002045831587,82.49891161759662,0.3921235305
2050,4,1,8.472795048853985,399.67507180335224,25.48578476569086,1.73,3.56,1.426511152827157,172.1048874127607,0.3921235305
2050,4,2,8.472795048853985,399.67507180335224,25.48578476569086,1.73,3.56,1.426511152827157,172.1048874127607,0.3921235305
2050,4,3,35.274408330680814,696.792680368799,8.301095705224503,0.31,1.94,1.737501066160304,82.49432802718246,0.3921235305
2050,4,4,35.274408330680814,696.792680368799,8.301095705224503,0.31,1.94,1.737501066160304,82.49432802718246,0.3921235305
2050,5,1,8.918990756280323,423.06694456367404,19.44010970842055,1.73,3.56,1.3177295579434556,209.99415496409355,0.39217731513251686
2050,5,2,8.918990756280323,423.06694456367404,19.44010970842055,1.73,3.56,1.3177295579434556,209.99415496409355,0.39217731513251686
2050,5,3,35.27616048642858,654.0,8.825,0.31,1.94,1.436497545,82.5,0.366730837
2050,5,4,35.27616048642858,654.0,8.825,0.31,1.94,1.436497545,82.5,0.366730837
2050,6,1,8.355418456984758,404.40160565815756,23.667786486080644,1.73,3.56,1.3859015040689007,190.14085993299025,0.39212353050000004
2050,6,2,8.355418456984758,404.40160565815756,23.667786486080644,1.73,3.56,1.3859015040689007,190.14085993299025,0.39212353050000004
2050,6,3,35.27616048642858,696.82777775,8.3,0.31,1.94,1.7375,82.5,0.3921235305
2050,6,4,35.27616048642858,696.82777775,8.3,0.31,1.94,1.7375,82.5,0.3921235305
