,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,11.04,109.264,3.821,0.169,5.997,4.012,0.568,0,0,4.881,154.475,39.071,1.235,44.55631,6.460629,69.62006,0.107,6.101,2.832,21.765,0.596,0.01,88.557,6.897,0,0.519
1972,11.863,120.874,4.431,0.191,6.518,4.477,0.681,0,0,5.337,168.084,41.535,1.557,46.38529,6.72583,72.47788,0.137,6.856,3.086,23.84,0.841,0.03,96.9,6.908,0,0.552
1973,13.388,136.802,4.76,0.23,7.15,4.547,0.86,0,0,5.722,181.397,43.63,1.354,48.56145,7.041371,75.87817,0.385,6.889,4.057,26.95,0.931,0.05,119.322,7.889,0,0.6
1974,13.623,132.195,5.138,0.25,7.515,4.834,0.805,0,0,5.839,188.438,45.528,1.59,50.30438,7.294094,78.60153,0.727,7.068,5.147,27.321,0.939,0.08,117.131,8.007,0,0.62
1975,13.025,105.816,5.272,0.31,8.387,4.616,0.851,0,0,6.831,156.54,47.734,1.703,52.19725,7.56856,81.55919,0.681,7.991,4.894,27.43,0.938,0.1,102.313,8.054,0,0.62
1976,13.29,116.12,5.298,0.309,9.253,4.584,0.958,0,0,7.106,165.691,50.166,1.972,53.48256,7.754929,83.5675,0.684,9.364,6.515,23.048,1.022,0.139,107.399,8.016,0,0.62
1977,13.631,113.7,5.601,0.364,11.253,4.774,1.167,0,0,7.295,157.065,53.846,1.902,54.16585,7.854004,84.63515,1.948,10.009,8.347,25.94,1.073,0.25,102.405,7.556,0,0.65
1978,14.899,124.313,6.711,0.364,12.205,5.034,1.33,0,0,7.902,165.1,56.022,2.172,55.93167,8.110047,87.39428,1.576,10.099,10.049,35.682,1.144,0.31,102.105,7.821,0,0.85
1979,16.078,123.276,7.005,0.398,13.893,6.158,1.55,0,0,8.876,175.079,56.868,2.396,55.06409,7.984248,86.03867,2.103,10.126,12.91,39.15,1.327,0.518,111.748,8.348,0,0.89
1980,15.901,101.456,7.156,0.443,15.337,6.268,1.541,0.02,0,9.067,162.483,57.553,2.536,54.63713,7.922339,85.37154,1.226,9.514,14.358,40.698,1.33,0.543,111.395,7.819,0.131,0.875
1981,14.811,109.614,7.663,0.443,13.226,6.009,1.752,0.022,0,9.005,159.964,54.119,2.425,54.85356,7.953722,85.70972,1.248,10.765,16.253,38.921,1.123,0.621,101.676,7.856,0.144,0.761
1982,11.871,67.656,7.056,0.732,12.995,6.382,2.054,0.09,0,8.28,144.433,52.979,3.183,54.34978,7.880674,84.92255,1.232,10.997,17.558,41.482,1.231,0.693,99.548,6.623,0.098,0.608
1983,12.832,76.762,6.978,0.844,14.671,6.778,2.041,0.182,0,7.18,143.196,54.429,3.834,56.32871,8.167618,88.01467,1.661,10.237,18.015,45.222,1.099,0.983,97.179,5.91,0.178,0.722
1984,14.699,83.941,7.56,0.627,18.386,7.019,1.856,0.229,0,7.732,156.085,56.685,4.33,56.96361,8.259678,89.00671,2.366,10.549,19.534,48.886,1.343,1.171,105.586,6.582,0.388,0.498
1985,14.637,80.068,7.399,0.681,20.455,7.683,2.609,0.321,0,8.507,157.437,56.029,4.864,57.11984,8.282331,89.25082,2.675,11.936,20.039,52.28,1.462,1.374,105.279,6.836,0.872,0.806
1986,14.081,74.032,7.225,0.87,21.233,8.529,2.652,0.2,0,8.895,147.327,57.733,5.928,59.29305,8.597445,92.6465,2.655,12.197,21.155,57.933,1.5,1.729,98.275,6.961,1.016,0.749
1987,14.737,80.877,7.642,0.892,22.228,9.326,3.162,0.184,0,8.991,145.011,58.556,7.044,59.78686,8.669047,93.41809,2.912,13.121,23.512,62.115,1.825,2.059,98.513,6.509,1.12,0.672
1988,14.866,90.65,7.779,0.791,24.657,9.487,3.587,0.234,0,8.837,159.984,57.516,7.982,60.21641,8.731331,94.08926,3.318,14.309,25.948,67.614,1.817,1.85,105.681,6.847,1.32,0.677
1989,15.458,88.853,7.85,0.784,25.017,9.32,3.35,0.213,0,9.567,161.825,55.688,7.852,59.13017,8.573828,92.392,3.676,14.429,28.803,70.587,1.995,1.85,107.909,7.34,1.32,0.667
1990,12.281,89.726,8.734,0.708,20.567,8.718,3.759,0.275,0.05,8.619,155.46,47.165,9.443,57.0397,8.27071,89.1256,4.065,14.963,30.125,76.247,3.001,2.892,110.339,7.395,0.9,0.595
1991,12.987,79.738,7.964,0.701,22.617,8.291,4.315,0.307,0.05,9.358,150.292,35.334,9.398,49.06302,7.114098,76.66188,4.778,17.1,31.001,82.123,3.164,3.089,109.649,6.947,0.958,0.591
1992,13.933,84.322,8.459,0.773,23.934,8.363,4.344,0.257,0.05,9.061,145.453,31.291,10.343,43.483,6.305,67.943,5.589,18.117,32.055,91.79,3.701,2.949,98.132,7.561,0.919,0.557
1993,14.387,88.793,9.199,0.665,25.207,8.591,4.747,0.247,0.05,8.726,145.942,30.838,11.519,34.159,4.852,58.797,6.875,18.155,36.526,101.659,4.199,3.802,99.623,8.706,1.054,0.23
1994,13.897,91.244,10.26,0.786,25.747,9.21,4.494,0.115,0.05,8.525,153.25,33.423,12.624,25.594,3.333,48.993,7.806,19.282,35.345,104.357,4.836,3.22,98.295,9.192,1.064,0.163
1995,14.415,95.191,12.147,0.973,25.076,9.559,4.584,0.096,0.05,8.741,157.045,33.12,13.183,23.716,3.395,51.693,8.133,22.003,37.372,107.115,6.324,4.13,101.64,9.302,1.016,0.22
1996,14.735,95.535,13.172,1.009,25.237,10.632,4.324,0.073,0.05,7.999,147.777,32.376,13.624,23.864,3.66,49.355,9.169,23.753,39.503,113.687,7.146,4.109,98.801,9.223,0.967,0.212
1997,15.553,98.485,14.218,1.205,26.153,10.813,4.213,0.075,0.05,8.311,161.241,35.191,14.475,27.659,4.268,48.631,9.929,24.415,43.154,124.905,6.765,3.816,104.545,9.589,0.97,0.214
1998,15.93,98.658,14.213,1.139,25.76,10.361,4.52,0.06,0.05,7.956,161.324,32.371,14.144,26.592,3.472,43.883,9.065,23.48,40.196,131.502,5.427,2.699,93.548,9.697,0.97,0.212
1999,16.235,97.428,15.299,1.095,24.996,9.574,4.429,0.06,0.05,7.341,156.667,27.387,14.313,29.697,4.443,51.517,9.779,24.296,41.342,139.147,5.245,2.891,91.192,8.947,0.93,0.255
