type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
offshore,1920,gas,extraction,kg,332326.6054497396,6250857.5680311,118161.52955505496,12514.85441535401,2751.1293856940665,133805.54686620703,17195.951255811593,1454.679786533989,1.5284256563708563,297.52467698730567,1117053.3143678566,600769.3518052457,289.2711022344754,793327.6975516642,329055.7119365216,2393003.832971532,156762.403376574,10764.986445339115,630.2928739036926,32135.436720176604,3316.58380228874,1800.9822278293666,81429.33212458232,30532.46670416314,43647.71126958063,704.2487106638924
offshore,1921,gas,extraction,kg,415408.2568121746,7813571.960038874,147701.9119438187,15643.56801919251,3438.9117321175836,167256.9335827588,21494.939069764492,1818.3497331674862,1.9105320704635704,371.905846234132,1396316.6429598213,750961.6897565571,361.58887779309424,991659.6219395802,411319.639920652,2991254.7912144144,195953.00422071747,13456.233056673891,787.8660923796158,40169.29590022075,4145.729752860925,2251.2277847867085,101786.6651557279,38165.58338020392,54559.63908697578,880.3108883298656
offshore,1922,gas,extraction,kg,498489.9081746095,9376286.35204665,177242.29433258242,18772.281623031013,4126.6940785411,200708.32029931052,25793.92688371739,2182.0196798009833,2.292638484556284,446.2870154809585,1675579.9715517852,901154.0277078687,433.9066533517131,1189991.5463274962,493583.56790478237,3589505.7494572974,235143.60506486095,16147.479668008675,945.439310855539,48203.15508026491,4974.875703433111,2701.4733417440507,122143.9981868735,45798.70005624472,65471.56690437095,1056.3730659958385
offshore,1923,gas,extraction,kg,581571.5595370444,10939000.744054426,206782.67672134622,21900.995226869512,4814.476424964616,234159.70701586228,30092.914697670287,2545.6896264344805,2.6747448986489983,520.6681847277848,1954843.3001437495,1051346.36565918,506.22442891033194,1388323.4707154124,575847.4958889128,4187756.7077001804,274334.20590900443,18838.726279343453,1103.012529331462,56237.01426030905,5804.021654005295,3151.718898701392,142501.33121801907,53431.81673228551,76383.49472176611,1232.4352436618117
offshore,1924,gas,extraction,kg,664653.2108994792,12501715.1360622,236323.05911010993,25029.708830708012,5502.258771388132,267611.09373241407,34391.90251162318,2909.359573067978,3.056851312741712,595.0493539746113,2234106.628735714,1201538.7036104915,578.5422044689508,1586655.3951033282,658111.4238730432,4786007.665943063,313524.80675314803,21529.97289067823,1260.5857478073851,64270.87344035319,6633.16760457748,3601.964455658734,162858.66424916463,61064.93340832629,87295.42253916126,1408.4974213277849
offshore,1925,gas,extraction,kg,747734.8622619143,14064429.528069973,265863.4414988737,28158.42243454651,6190.04111781165,301062.4804489658,38690.89032557608,3273.029519701475,3.4389577268344262,669.4305232214377,2513369.9573276774,1351731.041561803,650.8599800275696,1784987.3194912444,740375.3518571735,5384258.624185946,352715.4075972914,24221.219502013006,1418.1589662833085,72304.73262039735,7462.313555149665,4052.210012616075,183215.99728031023,68698.05008436706,98207.35035655642,1584.5595989937583
offshore,1926,gas,extraction,kg,913898.1649867842,17189858.312085524,324944.2062764011,34415.849642223526,7565.605810658683,367965.2538820693,47288.86595348188,4000.369412968469,4.203170555019855,818.1928617150905,3071896.6145116063,1652115.7174644258,795.4955311448074,2181651.1682670764,904903.2078254343,6580760.540671712,431096.6092855784,29603.71272468257,1733.3054032351547,88372.45098048564,9120.605456294035,4952.701126530759,223930.66334260142,83964.28343644866,120031.20599134672,1936.6839543257045
offshore,1927,gas,extraction,kg,1080061.4677116538,20315287.096101075,384024.9710539286,40673.276849900525,8941.170503505715,434868.02731517283,55886.84158138767,4727.709306235464,4.967383383205282,966.9552002087433,3630423.271695534,1952500.393367049,940.131082262045,2578315.0170429084,1069431.063793695,7777262.457157478,509477.8109738654,34986.205947352115,2048.4518401870014,104440.16934057396,10778.897357438407,5853.192240445442,264645.3294048926,99230.51678853022,141855.06162613706,2288.8083096576506
offshore,1928,gas,extraction,kg,1246224.770436524,23440715.880116627,443105.7358314561,46930.70405757753,10316.735196352749,501770.8007482764,64484.81720929347,5455.049199502459,5.73159621139071,1115.717538702396,4188949.9288794626,2252885.0692696716,1084.7666333792827,2974978.8658187413,1233958.919761956,8973764.373643244,587859.0126621524,40368.69917002168,2363.598277138847,120507.88770066226,12437.189258582775,6753.683354360124,305359.9954671837,114496.75014061178,163678.91726092735,2640.932664989597
offshore,1929,gas,extraction,kg,1412388.0731613936,26566144.664132174,502186.50060898357,53188.13126525453,11692.299889199783,568673.5741813798,73082.79283719926,6182.389092769452,6.495809039576138,1264.479877196049,4747476.586063392,2553269.745172295,1229.4021844965202,3371642.714594573,1398486.7757302169,10170266.29012901,666240.2143504393,45751.19239269124,2678.7447140906934,136575.60606075058,14095.481159727145,7654.174468274807,346074.66152947483,129762.98349269335,185502.77289571767,2993.0570203215434
offshore,1930,gas,extraction,kg,1578551.3758862636,29691573.448147725,561267.265386511,59445.55847293153,13067.864582046815,635576.3476144833,81680.76846510508,6909.728986036447,7.260021867761567,1413.242215689702,5306003.24324732,2853654.4210749175,1374.0377356137578,3768306.5633704048,1563014.6316984775,11366768.206614776,744621.4160387263,51133.685615360795,2993.89115104254,152643.32442083885,15753.773060871516,8554.665582189493,386789.327591766,145029.2168447749,207326.628530508,3345.181375653489
offshore,1931,gas,extraction,kg,1744714.6786111335,32817002.23216327,620348.0301640385,65702.98568060854,14443.42927489385,702479.1210475869,90278.74409301087,7637.0688793034415,8.024234695946994,1562.0045541833545,5864529.900431247,3154039.0969775403,1518.6732867309956,4164970.4121462367,1727542.4876667385,12563270.123100538,823002.6177270132,56516.17883803035,3309.0375879943867,168711.04278092718,17412.064962015884,9455.156696104175,427503.99365405727,160295.45019685655,229150.4841652983,3697.305730985435
offshore,1932,gas,extraction,kg,1910877.9813360032,35942431.016178824,679428.7949415661,71960.41288828556,15818.993967740884,769381.8944806905,98876.71972091666,8364.408772570436,8.788447524132422,1710.7668926770075,6423056.557615178,3454423.7728801635,1663.3088378482335,4561634.26092207,1892070.3436349991,13759772.039586306,901383.8194153004,61898.67206069991,3624.1840249462325,184778.7611410155,19070.356863160254,10355.647810018858,468218.65971634845,175561.68354893805,250974.33980008864,4049.4300863173817
